#InsertRandomSpeedTest
#length 5
OperationNumbers    ULLMap  BSTMap    TreeMap   HashMap
                1   0.00    0.00      0.00      0.00
               10   0.00    0.00      0.00      0.00
              100   0.00    0.00      0.00      0.00
             1000   0.01    0.00      0.00      0.00
            10000   0.30    0.00      0.00      0.00
           100000   NA      0.05      0.04      0.02

#length 100
OperationNumbers    ULLMap  BSTMap    TreeMap   HashMap
                1   0.00    0.00      0.00      0.00
               10   0.00    0.00      0.00      0.00
              100   0.00    0.00      0.00      0.00
             1000   0.01    0.00      0.00      0.00
             2000   0.03    0.00      0.00      0.00
             4000   0.08    0.00      0.00      0.00
             5000   0.12    0.01      0.01      0.01
             8000   0.30    0.01      0.01      0.01
            10000   0.47    0.01      0.01      0.02
            50000   NA      0.06      0.06      0.07
           100000   NA      0.15      0.14      0.13
           500000   NA      1.03      0.84      0.64

#InsertOrderSpeedTest
#length 5
OperationNumbers    ULLMap  BSTMap    TreeMap   HashMap
               5    0.00    0.00      0.00      0.00
              50    0.00    0.00      0.00      0.00
             500    0.01    0.01      0.00      0.00
            5000    0.18    0.19      0.01      0.00
           10000    0.76    0.82      0.01      0.01
           50000    NA      NA        0.03      0.02
